base	mean.quality	sd.quality	p.error
1	32.77	3.8	0.0013
2	32.86	3.79	0.00131
3	32.94	3.78	0.00132
4	33.02	3.77	0.00133
5	33.09	3.76	0.00133
6	33.17	3.75	0.00134
7	33.24	3.74	0.00135
8	33.31	3.73	0.00136
9	33.39	3.72	0.00137
10	33.45	3.71	0.00138
11	33.52	3.7	0.00139
12	33.59	3.7	0.0014
13	33.65	3.69	0.0014
14	33.71	3.68	0.00141
15	33.78	3.68	0.00142
16	33.83	3.67	0.00143
17	33.89	3.66	0.00144
18	33.95	3.66	0.00145
19	34	3.66	0.00146
20	34.05	3.65	0.00147
21	34.1	3.65	0.00147
22	34.15	3.65	0.00148
23	34.2	3.64	0.00149
24	34.24	3.64	0.0015
25	34.29	3.64	0.00151
26	34.33	3.64	0.00152
27	34.37	3.64	0.00153
28	34.41	3.64	0.00153
29	34.44	3.64	0.00154
30	34.48	3.64	0.00155
31	34.51	3.64	0.00156
32	34.55	3.64	0.00157
33	34.58	3.64	0.00158
34	34.61	3.65	0.00159
35	34.64	3.65	0.0016
36	34.66	3.65	0.0016
37	34.69	3.65	0.00161
38	34.71	3.66	0.00162
39	34.73	3.66	0.00163
40	34.75	3.67	0.00164
41	34.77	3.67	0.00165
42	34.78	3.68	0.00166
43	34.79	3.69	0.00167
44	34.8	3.69	0.00167
45	34.81	3.7	0.00168
46	34.82	3.71	0.00169
47	34.82	3.72	0.0017
48	34.83	3.73	0.00171
49	34.83	3.74	0.00172
50	34.83	3.75	0.00173
51	34.83	3.76	0.00173
52	34.83	3.77	0.00174
53	34.83	3.78	0.00175
54	34.83	3.79	0.00176
55	34.83	3.8	0.00177
56	34.83	3.81	0.00178
57	34.82	3.82	0.00179
58	34.81	3.83	0.0018
59	34.8	3.84	0.0018
60	34.79	3.85	0.00181
61	34.78	3.86	0.00182
62	34.76	3.88	0.00183
63	34.74	3.89	0.00184
64	34.73	3.9	0.00185
65	34.71	3.92	0.00186
66	34.69	3.93	0.00187
67	34.67	3.94	0.00187
68	34.65	3.95	0.00188
69	34.63	3.97	0.00189
70	34.61	3.98	0.0019
71	34.59	3.99	0.00191
72	34.57	4	0.00192
73	34.55	4.01	0.00193
74	34.54	4.02	0.00193
75	34.52	4.03	0.00194
76	34.5	4.04	0.00195
77	34.49	4.05	0.00196
78	34.47	4.06	0.00197
79	34.45	4.07	0.00198
80	34.43	4.08	0.00199
81	34.4	4.09	0.002
82	34.38	4.1	0.002
83	34.36	4.11	0.00201
84	34.34	4.12	0.00202
85	34.31	4.13	0.00203
86	34.29	4.14	0.00204
87	34.27	4.15	0.00205
88	34.24	4.16	0.00206
89	34.22	4.17	0.00207
90	34.2	4.18	0.00207
91	34.18	4.19	0.00208
92	34.15	4.19	0.00209
93	34.13	4.2	0.0021
94	34.11	4.21	0.00211
95	34.09	4.22	0.00212
96	34.07	4.23	0.00213
97	34.05	4.23	0.00213
98	34.04	4.24	0.00214
99	34.02	4.25	0.00215
100	34	4.25	0.00216
101	33.98	4.26	0.00217
102	33.96	4.27	0.00218
103	33.94	4.27	0.00219
104	33.92	4.28	0.0022
105	33.9	4.29	0.0022
106	33.88	4.29	0.00221
107	33.86	4.3	0.00222
108	33.84	4.3	0.00223
109	33.82	4.31	0.00224
110	33.8	4.31	0.00225
111	33.78	4.32	0.00226
112	33.76	4.33	0.00227
113	33.74	4.33	0.00227
114	33.72	4.34	0.00228
115	33.7	4.35	0.00229
116	33.68	4.35	0.0023
117	33.66	4.36	0.00231
118	33.64	4.36	0.00232
119	33.62	4.37	0.00233
120	33.6	4.37	0.00233
121	33.58	4.37	0.00234
122	33.56	4.38	0.00235
123	33.54	4.38	0.00236
124	33.52	4.39	0.00237
125	33.5	4.39	0.00238
126	33.48	4.4	0.00239
127	33.46	4.4	0.0024
128	33.43	4.41	0.0024
129	33.41	4.41	0.00241
130	33.39	4.42	0.00242
131	33.36	4.43	0.00243
132	33.34	4.44	0.00244
133	33.32	4.45	0.00245
134	33.29	4.46	0.00246
135	33.27	4.46	0.00247
136	33.24	4.47	0.00247
137	33.22	4.48	0.00248
138	33.2	4.49	0.00249
139	33.17	4.5	0.0025
140	33.15	4.51	0.00251
141	33.12	4.52	0.00252
142	33.09	4.53	0.00253
143	33.07	4.54	0.00253
144	33.04	4.55	0.00254
145	33.01	4.56	0.00255
146	32.99	4.57	0.00256
147	32.96	4.58	0.00257
148	32.93	4.59	0.00258
149	32.9	4.6	0.00259
150	32.87	4.62	0.0026
151	32.84	4.63	0.0026
152	32.81	4.64	0.00261
153	32.78	4.65	0.00262
154	32.75	4.67	0.00263
155	32.72	4.68	0.00264
156	32.69	4.69	0.00265
157	32.65	4.71	0.00266
158	32.62	4.72	0.00267
159	32.59	4.73	0.00267
160	32.56	4.75	0.00268
161	32.53	4.76	0.00269
162	32.49	4.78	0.0027
163	32.46	4.79	0.00271
164	32.42	4.81	0.00272
165	32.39	4.82	0.00273
166	32.35	4.84	0.00273
167	32.32	4.85	0.00274
168	32.28	4.87	0.00275
169	32.24	4.88	0.00276
170	32.2	4.9	0.00277
171	32.17	4.91	0.00278
172	32.13	4.93	0.00279
173	32.09	4.95	0.0028
174	32.04	4.97	0.0028
175	32	4.98	0.00281
176	31.96	5	0.00282
177	31.91	5.02	0.00283
178	31.87	5.04	0.00284
179	31.82	5.06	0.00285
180	31.78	5.08	0.00286
181	31.73	5.1	0.00287
182	31.68	5.12	0.00287
183	31.64	5.14	0.00288
184	31.59	5.16	0.00289
185	31.54	5.18	0.0029
186	31.5	5.19	0.00291
187	31.45	5.21	0.00292
188	31.41	5.23	0.00293
189	31.36	5.25	0.00293
190	31.32	5.27	0.00294
191	31.27	5.29	0.00295
192	31.22	5.31	0.00296
193	31.16	5.33	0.00297
194	31.11	5.35	0.00298
195	31.06	5.37	0.00299
196	31	5.39	0.003
197	30.95	5.41	0.003
198	30.89	5.43	0.00301
199	30.84	5.46	0.00302
200	30.79	5.48	0.00303
201	30.73	5.5	0.00304
202	30.68	5.52	0.00305
203	30.63	5.54	0.00306
204	30.58	5.56	0.00307
205	30.54	5.57	0.00307
206	30.49	5.59	0.00308
207	30.45	5.61	0.00309
208	30.41	5.63	0.0031
209	30.37	5.65	0.00311
210	30.33	5.66	0.00312
211	30.29	5.68	0.00313
212	30.25	5.69	0.00313
213	30.21	5.71	0.00314
214	30.17	5.73	0.00315
215	30.13	5.74	0.00316
216	30.09	5.76	0.00317
217	30.06	5.77	0.00318
218	30.02	5.79	0.00319
219	29.98	5.8	0.0032
220	29.94	5.82	0.0032
221	29.91	5.84	0.00321
222	29.87	5.85	0.00322
223	29.83	5.87	0.00323
224	29.79	5.89	0.00324
225	29.76	5.9	0.00325
226	29.72	5.92	0.00326
227	29.69	5.94	0.00327
228	29.65	5.95	0.00327
229	29.62	5.96	0.00328
230	29.59	5.98	0.00329
231	29.57	5.99	0.0033
232	29.54	6	0.00331
233	29.51	6.02	0.00332
234	29.49	6.03	0.00333
235	29.46	6.04	0.00333
236	29.43	6.05	0.00334
237	29.41	6.07	0.00335
238	29.38	6.08	0.00336
239	29.35	6.09	0.00337
240	29.32	6.11	0.00338
241	29.29	6.13	0.00339
242	29.26	6.14	0.0034
243	29.22	6.16	0.0034
244	29.19	6.18	0.00341
245	29.15	6.2	0.00342
246	29.11	6.23	0.00343
247	29.07	6.25	0.00344
248	29.02	6.28	0.00345
249	28.98	6.3	0.00346
250	28.94	6.33	0.00347
251	28.9	6.36	0.00347
252	28.86	6.38	0.00348
253	28.82	6.41	0.00349
254	28.78	6.44	0.0035
255	28.73	6.47	0.00351
256	28.69	6.5	0.00352
257	28.65	6.53	0.00353
258	28.6	6.56	0.00353
259	28.55	6.59	0.00354
260	28.5	6.62	0.00355
261	28.45	6.65	0.00356
262	28.39	6.68	0.00357
263	28.33	6.72	0.00358
264	28.27	6.75	0.00359
265	28.21	6.78	0.0036
266	28.15	6.81	0.0036
267	28.09	6.84	0.00361
268	28.02	6.88	0.00362
269	27.96	6.91	0.00363
270	27.89	6.94	0.00364
271	27.82	6.98	0.00365
272	27.76	7.01	0.00366
273	27.69	7.05	0.00367
274	27.62	7.08	0.00367
275	27.54	7.12	0.00368
276	27.47	7.15	0.00369
277	27.4	7.19	0.0037
278	27.32	7.23	0.00371
279	27.24	7.27	0.00372
280	27.16	7.3	0.00373
281	27.08	7.34	0.00373
282	27	7.38	0.00374
283	26.92	7.42	0.00375
284	26.83	7.46	0.00376
285	26.75	7.5	0.00377
286	26.66	7.54	0.00378
287	26.57	7.58	0.00379
288	26.48	7.62	0.0038
289	26.39	7.66	0.0038
290	26.3	7.7	0.00381
291	26.2	7.75	0.00382
292	26.11	7.79	0.00383
293	26.01	7.83	0.00384
294	25.91	7.87	0.00385
295	25.81	7.92	0.00386
296	25.71	7.96	0.00387
297	25.61	8.01	0.00387
298	25.51	8.05	0.00388
299	25.4	8.1	0.00389
300	25.3	8.14	0.0039
